"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Navigate","Backward History","Alt+Left","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Resume","F8","Debugging"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"View","Zoom In","Ctrl+=","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Organize Imports","Ctrl+W","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"File","Print","Ctrl+P","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"File","Rename","F2","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
