"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Edit","Restore Last C/C++ Selection","Alt+Shift+Down","C/C++ Editor"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Embedded Xtext Editor context"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"Window","Open Model Element","Ctrl+Shift+F3","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"C/C++ Source","Open Element","Ctrl+Shift+T","In C/C++ Views"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Next","Ctrl+.","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Embedded Xtext Editor context"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Run/Debug","Execute","Ctrl+U","In Windows"
"C/C++ Source","Surround With Quick Menu","Alt+Shift+Z","C/C++ Editor"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Previous","Ctrl+,","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Embedded Xtext Editor context"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","C/C++ Editor"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Embedded Xtext Editor context"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Project","Build All","Ctrl+B","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"View","Zoom In","Ctrl+=","In Windows"
"Editing","Select Enclosing Element","Alt+Shift+Up","Editing Xtext Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Editing","Select Next Element","Alt+Shift+Right","Editing Xtext Source"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Embedded Xtext Editor context"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"C/C++ Source","Format","Ctrl+Shift+F","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Text Editing","Delete Line","Ctrl+D","Embedded Xtext Editor context"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Window","Show Ruler Context Menu","Ctrl+F10","Embedded Xtext Editor context"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"C/C++ Source","Organize Includes","Ctrl+Shift+O","C/C++ Editor"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"File","Save","Ctrl+S","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Embedded Xtext Editor context"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Editing","Format","Ctrl+Shift+F","Editing Xtext Source"
"Navigate","Forward History","Alt+Right","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"C/C++ Source","Add Block Comment","Ctrl+Shift+/","C/C++ Editor"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Navigate","Open Declaration","F3","JavaScript View"
"Editing","Go to Matching Bracket","Ctrl+Shift+P","Editing Xtext Source"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"C/C++ Source","Add Include","Ctrl+Shift+N","C/C++ Editor"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"C/C++ Source","Go to Previous Member","Ctrl+Shift+Up","C/C++ Editor"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
